job_simp,skills,avg_salary,skills_str
ai engineer,"[' Research', 'Django', ' Node.js', 'Natural language processing', 'Angular', 'Software deployment', 'React', 'Big data', 'Data science', 'Spark', 'Analysis skills', 'Machine learning', 'Java', ' Azure', 'R']",369999.6," Research, Django,  Node.js, Natural language processing, Angular, Software deployment, React, Big data, Data science, Spark, Analysis skills, Machine learning, Java,  Azure, R"
analyst,"['Big data', 'Analytics', 'Communication skills', ' SQL', 'SSRS', 'Agile', 'Hadoop', ' English', 'Apache Hive', 'Data structures', 'Alteryx', 'Software deployment', ' Asset management', 'Supply chain', 'Oracle', 'Data science', ' Analysis skills', 'Microsoft Office', 'Data modeling', 'Data entry', 'R', 'Microsoft SQL Server', ' MATLAB', 'Salesforce', ' Business intelligence', 'Data management', 'Data mining', ' Microsoft Outlook', 'Tableau', 'Business intelligence', 'Data analysis skills', 'Electrical experience', 'AWS', ' Project management', 'C#', 'APIs', 'Spark', 'Application development', ' Power BI', 'Python', 'Microsoft Access', ' Data analysis skills', 'Computer science', ' Google AdWords', ' Azure', 'Visual Basic', ' Statistics', 'Data visualization', 'UML', 'SAP ERP', 'SAP', 'SAFe', 'SAP S/4HANA', 'Microsoft Excel', ' Data entry', ' Microsoft Excel', 'Cybersecurity', 'CSS', 'Statistics', 'NoSQL', 'Product management', 'Customer service', 'Azure', 'Analysis skills', ' Procurement', ' Microsoft Powerpoint', 'Relational databases', 'Databases', 'English', 'SharePoint', 'Presentation skills', 'SAS', 'Project management', 'Power BI', 'Research', ' Research', 'Market research', ' ArcGIS', 'SQL', ' Computer science', 'Lean']",271931.5308641975,"Big data, Analytics, Communication skills,  SQL, SSRS, Agile, Hadoop,  English, Apache Hive, Data structures, Alteryx, Software deployment,  Asset management, Supply chain, Oracle, Data science,  Analysis skills, Microsoft Office, Data modeling, Data entry, R, Microsoft SQL Server,  MATLAB, Salesforce,  Business intelligence, Data management, Data mining,  Microsoft Outlook, Tableau, Business intelligence, Data analysis skills, Electrical experience, AWS,  Project management, C#, APIs, Spark, Application development,  Power BI, Python, Microsoft Access,  Data analysis skills, Computer science,  Google AdWords,  Azure, Visual Basic,  Statistics, Data visualization, UML, SAP ERP, SAP, SAFe, SAP S/4HANA, Microsoft Excel,  Data entry,  Microsoft Excel, Cybersecurity, CSS, Statistics, NoSQL, Product management, Customer service, Azure, Analysis skills,  Procurement,  Microsoft Powerpoint, Relational databases, Databases, English, SharePoint, Presentation skills, SAS, Project management, Power BI, Research,  Research, Market research,  ArcGIS, SQL,  Computer science, Lean"
cloud related,"['CI/CD', ' CI/CD', ' Jira', 'Customer service', 'Azure', 'DevOps', 'Kubernetes', 'Java', 'Terraform']",216666.0,"CI/CD,  CI/CD,  Jira, Customer service, Azure, DevOps, Kubernetes, Java, Terraform"
data architect,"['Data modeling', 'Big data', 'SAP HANA', 'Azure', 'Scalability', ' Agile', 'Solution architecture', 'Leadership', 'Communication skills', 'Databases', 'PCI', 'Information security', 'Product lifecycle management', 'Salesforce', 'Financial services', 'Kubernetes', ' Azure', 'Agile', 'Google Cloud Platform', ' Data modeling', ' English', 'Cloud architecture', 'Business requirements', ' Kubernetes', 'SAP', 'SAFe', ' CI/CD', 'Software deployment', 'Design patterns', ' Software deployment', 'Oracle', 'AWS']",188970.0,"Data modeling, Big data, SAP HANA, Azure, Scalability,  Agile, Solution architecture, Leadership, Communication skills, Databases, PCI, Information security, Product lifecycle management, Salesforce, Financial services, Kubernetes,  Azure, Agile, Google Cloud Platform,  Data modeling,  English, Cloud architecture, Business requirements,  Kubernetes, SAP, SAFe,  CI/CD, Software deployment, Design patterns,  Software deployment, Oracle, AWS"
data engineer,"['NoSQL', ' Big data', 'Data modeling', 'Big data', 'Spark', 'System administration', 'Azure', 'Analysis skills', 'Git', 'DevOps', 'R', ' Jira', 'Internet of things', ' Microsoft Powerpoint', ' Performance tuning', 'Databases', ' Ontology', 'Go', 'Computer science', 'Machine learning', 'Kubernetes', 'Cassandra', ' Statistics', 'XML', 'Business intelligence', ' Cassandra', 'Apache Hive', 'Data structures', 'CI/CD', ' CI/CD', 'SQL', ' Data science', 'MongoDB', 'Cloud infrastructure', 'Oracle', 'AWS', 'Rust', ' Oracle']",234999.4642857143,"NoSQL,  Big data, Data modeling, Big data, Spark, System administration, Azure, Analysis skills, Git, DevOps, R,  Jira, Internet of things,  Microsoft Powerpoint,  Performance tuning, Databases,  Ontology, Go, Computer science, Machine learning, Kubernetes, Cassandra,  Statistics, XML, Business intelligence,  Cassandra, Apache Hive, Data structures, CI/CD,  CI/CD, SQL,  Data science, MongoDB, Cloud infrastructure, Oracle, AWS, Rust,  Oracle"
data related,"['SQL', 'Communication skills', 'Python', 'Analysis skills', 'Data structures', 'Salesforce', ' Customer service', 'Machine learning', 'Presentation skills', ' Databases']",433332.6666666667,"SQL, Communication skills, Python, Analysis skills, Data structures, Salesforce,  Customer service, Machine learning, Presentation skills,  Databases"
data scientist,"['Big data', 'Statistical analysis', ' Spark', 'Mobile applications', 'Communication skills', ' SQL', 'Agile', '.NET', ' English', 'Image processing', 'Training & development', 'Apache Hive', 'Data structures', ' TensorFlow', 'TensorFlow', 'Database management', 'Alteryx', 'Performance tuning', 'Software deployment', ' Tableau', ' Software deployment', 'Oracle', 'Data science', ' Machine learning', 'Docker', 'Data modeling', ' Analysis skills', 'Data entry', 'Java', 'R', 'Predictive analytics', ' MATLAB', ' Deep learning', 'Machine learning', 'Administrative experience', 'Data management', 'Data mining', 'Google Cloud Platform', ' Microsoft Office', ' R', 'Tableau', 'Computer vision', 'Data analysis skills', 'AI', ' Web development', 'Math', 'System design', 'AWS', 'Natural language processing', 'C#', ' Big data', 'Clerical experience', 'Content development', 'Spark', 'Git', ' Power BI', ' Jira', 'Python', ' Data analysis skills', 'Microsoft Access', ' CSS', 'Cloud computing', 'Computer science', 'Financial services', ' Azure', 'Microservices', ' Statistics', 'Business analysis', 'Data visualization', 'Microsoft Excel', 'Statistics', 'NoSQL', 'Azure', 'Analysis skills', ' Procurement', ' Data mining', ' Pricing', ' Microsoft Powerpoint', 'Relational databases', 'Databases', 'English', 'Presentation skills', 'SAS', 'Project management', 'Power BI', ' iOS', ' Learning technology', 'Linux', 'SQL', ' Data science', 'Less', ' Computer science', 'Deep learning', ' Image processing']",327508.3245614035,"Big data, Statistical analysis,  Spark, Mobile applications, Communication skills,  SQL, Agile, .NET,  English, Image processing, Training & development, Apache Hive, Data structures,  TensorFlow, TensorFlow, Database management, Alteryx, Performance tuning, Software deployment,  Tableau,  Software deployment, Oracle, Data science,  Machine learning, Docker, Data modeling,  Analysis skills, Data entry, Java, R, Predictive analytics,  MATLAB,  Deep learning, Machine learning, Administrative experience, Data management, Data mining, Google Cloud Platform,  Microsoft Office,  R, Tableau, Computer vision, Data analysis skills, AI,  Web development, Math, System design, AWS, Natural language processing, C#,  Big data, Clerical experience, Content development, Spark, Git,  Power BI,  Jira, Python,  Data analysis skills, Microsoft Access,  CSS, Cloud computing, Computer science, Financial services,  Azure, Microservices,  Statistics, Business analysis, Data visualization, Microsoft Excel, Statistics, NoSQL, Azure, Analysis skills,  Procurement,  Data mining,  Pricing,  Microsoft Powerpoint, Relational databases, Databases, English, Presentation skills, SAS, Project management, Power BI,  iOS,  Learning technology, Linux, SQL,  Data science, Less,  Computer science, Deep learning,  Image processing"
director,"['Management', ' CI/CD', ' Data modeling', 'React', 'Cloud architecture', 'Azure', 'Node.js', 'Oracle', 'CSS']",1199999.6666666667,"Management,  CI/CD,  Data modeling, React, Cloud architecture, Azure, Node.js, Oracle, CSS"
intern,"['C#', 'NoSQL', ' Laboratory experience', 'Analysis skills', 'Git', 'Risk management', 'Java', 'R', 'Distributed systems', 'Communication skills', 'Python', 'Software testing', 'Databases', ' SQL', ' MATLAB', 'Go', ' Project management', 'Machine learning', 'Research & development', 'Quality assurance', 'Data visualization', 'Power BI', 'Tableau', 'Image processing', 'AI', 'Software development', 'SQL', ' Computer science', 'Data science', 'Rust', ' Machine learning']",239230.23076923078,"C#, NoSQL,  Laboratory experience, Analysis skills, Git, Risk management, Java, R, Distributed systems, Communication skills, Python, Software testing, Databases,  SQL,  MATLAB, Go,  Project management, Machine learning, Research & development, Quality assurance, Data visualization, Power BI, Tableau, Image processing, AI, Software development, SQL,  Computer science, Data science, Rust,  Machine learning"
machine learning engineer,"['AWS', 'NoSQL', 'Microsoft Office', 'Big data', 'Azure', 'Git', 'Analysis skills', 'Java', 'Search engines', 'R', 'Elasticsearch', 'Communication skills', 'English', 'Machine learning', 'Data mining', ' Presentation skills', ' Lucene', 'AI', ' TensorFlow', ' CI/CD', 'Microsoft Excel', 'Deep learning', ' Image processing', 'Natural language processing', 'Data science', ' Machine learning']",411538.0,"AWS, NoSQL, Microsoft Office, Big data, Azure, Git, Analysis skills, Java, Search engines, R, Elasticsearch, Communication skills, English, Machine learning, Data mining,  Presentation skills,  Lucene, AI,  TensorFlow,  CI/CD, Microsoft Excel, Deep learning,  Image processing, Natural language processing, Data science,  Machine learning"
manager,"['PaaS', 'APIs', 'Product management', 'RMF', 'Spark', 'Azure', 'Enterprise Software', 'Analysis skills', 'IT project management', 'Multilingual', 'Management', 'Application development', 'Salt', 'Web development', ' Kanban', 'Information security', 'Incident response', ' Azure', 'SOX', 'Data management', 'Bootstrap', 'Quality assurance', 'Agile', 'Bloomberg', 'Vendor management', ' Data modeling', 'React', 'Tableau', 'Scrum', 'Node.js', 'TCP', 'SAP', 'Software development', ' SAP', ' Operating systems', ' CI/CD', 'SAP S/4HANA', 'Product development', 'Cloud infrastructure', ' Microsoft Excel', ' Cloud infrastructure', 'Oracle', 'AWS', 'Lean', ' Project management', 'CSS']",151205.23529411765,"PaaS, APIs, Product management, RMF, Spark, Azure, Enterprise Software, Analysis skills, IT project management, Multilingual, Management, Application development, Salt, Web development,  Kanban, Information security, Incident response,  Azure, SOX, Data management, Bootstrap, Quality assurance, Agile, Bloomberg, Vendor management,  Data modeling, React, Tableau, Scrum, Node.js, TCP, SAP, Software development,  SAP,  Operating systems,  CI/CD, SAP S/4HANA, Product development, Cloud infrastructure,  Microsoft Excel,  Cloud infrastructure, Oracle, AWS, Lean,  Project management, CSS"
manager data scientist,"['Statistics', 'SQL', 'Power BI', 'Big data', 'Kubernetes', 'Azure', 'Analysis skills', 'Machine learning', ' TensorFlow']",599999.6666666666,"Statistics, SQL, Power BI, Big data, Kubernetes, Azure, Analysis skills, Machine learning,  TensorFlow"
nlp engineer,"['Azure', 'Analysis skills', 'Drupal', 'Java', 'Management', ' Jira', 'Information security', 'Go', 'Salesforce', 'Kubernetes', 'Google Cloud Platform', 'Project management', 'Software troubleshooting', 'React', 'Power BI', 'Node.js', 'Database development', ' CI/CD', 'Cloud infrastructure', ' Software deployment', ' Computer science', 'Oracle', 'AWS', 'CSS']",226166.08333333334,"Azure, Analysis skills, Drupal, Java, Management,  Jira, Information security, Go, Salesforce, Kubernetes, Google Cloud Platform, Project management, Software troubleshooting, React, Power BI, Node.js, Database development,  CI/CD, Cloud infrastructure,  Software deployment,  Computer science, Oracle, AWS, CSS"
other,"['Kanban', 'System administration', 'Azure', 'DevOps', 'Java', ' Pricing', 'Application development', ' Power BI', 'Release management', ' Jira', 'iOS', ' Microsoft Powerpoint', 'Adobe Creative Suite', 'Go', 'Salesforce', 'Machine learning', 'Kubernetes', ' Azure', 'Android', 'Encryption', 'Software troubleshooting', 'React', ' SSO', 'Sage', 'Computer vision', 'Systems engineering', 'Image processing', 'Cloud architecture', 'AI', 'Data structures', ' Node.js', ' TensorFlow', ' Customer service', 'CI/CD', 'Software development', ' CI/CD', 'Microsoft Excel', 'Cloud infrastructure', 'Salesforce Marketing Cloud', 'Oracle', 'AWS', 'Natural language processing', ' Data structures', 'CSS']",349285.04761904763,"Kanban, System administration, Azure, DevOps, Java,  Pricing, Application development,  Power BI, Release management,  Jira, iOS,  Microsoft Powerpoint, Adobe Creative Suite, Go, Salesforce, Machine learning, Kubernetes,  Azure, Android, Encryption, Software troubleshooting, React,  SSO, Sage, Computer vision, Systems engineering, Image processing, Cloud architecture, AI, Data structures,  Node.js,  TensorFlow,  Customer service, CI/CD, Software development,  CI/CD, Microsoft Excel, Cloud infrastructure, Salesforce Marketing Cloud, Oracle, AWS, Natural language processing,  Data structures, CSS"
python automation,"['Selenium', ' CI/CD', 'Azure', 'Git', 'Test automation']",-1.0,"Selenium,  CI/CD, Azure, Git, Test automation"
software developer,"['C#', 'NoSQL', 'APIs', 'REST', 'Big data', 'Kanban', 'Azure', 'Authentication', 'CSS', 'Git', 'Multilingual', 'Java', ' FTP', 'Django', 'Application development', 'Clinical research', 'Angular', ' Power BI', ' Jira', 'iOS', ' Microsoft Powerpoint', 'Web development', ' CSS', 'Go', 'Salesforce', 'Kubernetes', 'Machine learning', ' Azure', 'Cucumber', 'Quality assurance', 'Google Cloud Platform', 'AJAX', 'Project management', 'Cassandra', ' R', 'Software troubleshooting', 'React', '.NET', ' AJAX', ' XML', 'Computer vision', 'Cloud architecture', 'Image processing', 'Node.js', 'AI', 'NFS', 'Data structures', ' Node.js', 'SAP', 'SAFe', 'SOAP', 'Test-driven development', 'CI/CD', ' TensorFlow', 'MVC', ' CI/CD', 'Performance tuning', 'Software deployment', 'Gradle', 'JUnit', 'Cloud infrastructure', 'Oracle', 'Enterprise architecture', 'ASP.NET', 'Data science', ' Git', 'Rust', ' Data structures', ' Oracle']",253268.61538461538,"C#, NoSQL, APIs, REST, Big data, Kanban, Azure, Authentication, CSS, Git, Multilingual, Java,  FTP, Django, Application development, Clinical research, Angular,  Power BI,  Jira, iOS,  Microsoft Powerpoint, Web development,  CSS, Go, Salesforce, Kubernetes, Machine learning,  Azure, Cucumber, Quality assurance, Google Cloud Platform, AJAX, Project management, Cassandra,  R, Software troubleshooting, React, .NET,  AJAX,  XML, Computer vision, Cloud architecture, Image processing, Node.js, AI, NFS, Data structures,  Node.js, SAP, SAFe, SOAP, Test-driven development, CI/CD,  TensorFlow, MVC,  CI/CD, Performance tuning, Software deployment, Gradle, JUnit, Cloud infrastructure, Oracle, Enterprise architecture, ASP.NET, Data science,  Git, Rust,  Data structures,  Oracle"
