company_name,location,job_title,job_description,rating,employer_estimate,min_salary,max_salary,avg_salary,Size,Founded,Type,Industry,Sector,Revenue,skills,age,seniority,job_simp
Procter & Gamble,Mumbai,senior manager – sap security governance risk and compliance management,"The Senior Manager’s role will ensure that the SAP Security Strategy and Risk and Compliance Management frameworks are always up-to-date, new threats are……
Skills: SAP, SOX, Analysis skills, SAP S/4HANA, RMF",4.1,0,400000,700000,550000.0,10000+ Employees,1837,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD)," SAP, SOX, Analysis skills, SAP S/4HANA, RMF",187.0,2.0,manager
S&P Global,Gurgaon,apprentice – data analyst,"We are responsible for assuring that data impacts are evaluate, understood, and communicated across all teams so that business continuity is maintained.…
Skills: Business intelligence, Relational databases, Tableau, Databases, SQL",4.1,0,500000,700000,600000.0,10000+ Employees,1860,Company - Public,Research and development,Management and consulting,$10+ billion (USD)," Business intelligence, Relational databases, Tableau, Databases, SQL",164.0,0.0,analyst
Oracuz Infotech Pvt Ltd,Remote,data science intern,"You will be assigned with module projects and tasks during the internship and on the basis of performance and availability of vacancies you will be hired.…
Skills: Web development, Machine learning, Data science",,1,5000,5000,5000.0,,,,,,," Web development, Machine learning, Data science",,0.0,data scientist
Optum,Bengaluru,manager data scientist,"As an Associate Manager, you will play a critical role in driving the success of our Data Science projects, leading a team of data scientists, and delivering……
Skills: TensorFlow, Big data, SQL, Analysis skills, Machine learning",,0,1000000,1000000,1000000.0,,,,,,," TensorFlow, Big data, SQL, Analysis skills, Machine learning",,2.0,manager data scientist
ITI Data,Chennai,aws glue data engineer,"Require Financial Services industry experience. This is a high visibility, fast-paced key initiative will integrate data across internal and external sources,……
Skills: Oracle, XML, Spark, NoSQL, MongoDB",4.2,0,200000,900000,550000.0,201 to 500 Employees,1999,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable," Oracle, XML, Spark, NoSQL, MongoDB",25.0,1.0,data engineer
Adobe,Bengaluru,senior computer scientist,"As a key member of the team you will be expected to design, build, test and deploy stable, scalable and simple solutions.…
Skills: TensorFlow, Image processing, Azure, Kubernetes, Computer vision",4.2,1,1200000,1600000,1400000.0,10000+ Employees,1982,Company - Public,Computer Hardware Development,Information Technology,$2 to $5 billion (USD)," TensorFlow, Image processing, Azure, Kubernetes, Computer vision",42.0,2.0,other
Ananta Consulting Group,India,software engineer vadodara,"· Stay up to date on latest technology and leverage those technologies to enhance the current systems and process to make them more efficient.…
Skills: FTP, Azure, React, NFS, Web development",,0,900000,1000000,950000.0,,,,,,," FTP, Azure, React, NFS, Web development",,1.0,software developer
S&P Global,Bengaluru,apprentice data science,"Knowledge of data science and data transformation processes. Flexible Downtime: Generous time off helps keep you energized for your time on.…
Skills: SQL, Analysis skills, Data science, Data visualization, Communication skills",4.1,1,15000,20000,17500.0,10000+ Employees,1860,Company - Public,Research and development,Management and consulting,$10+ billion (USD)," SQL, Analysis skills, Data science, Data visualization, Communication skills",164.0,0.0,data scientist
Wisdom college for creativity & design,Ghaziabad,data science trainee,"Acquire data from primary or secondary data sources and maintain databases/data systems. Use statistical methods to analyze data and generate useful business……
Skills: SQL, Data science, AI, Python",,1,10000,16000,13000.0,,,,,,," SQL, Data science, AI, Python",,0.0,data scientist
Medtek.AI,Noida,data science intern,"Ability to work in cross-functional, multi-cultural and international clinical trial teams. Performing data manipulation, analysis, and reporting of clinical……
Skills: Statistics, Oracle, SAS, R, Tableau",3.2,0,300000,1000000,650000.0,1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable," Statistics, Oracle, SAS, R, Tableau",,0.0,data scientist
