,company_name,location,job_title,job_description,salary_estimate,other_details,rating
0,Procter & Gamble,Mumbai,Senior Manager – SAP Security Governance: Risk and Compliance Management,"The Senior Manager’s role will ensure that the SAP Security Strategy and Risk and Compliance Management frameworks are always up-to-date, new threats are……
Skills: SAP, SOX, Analysis skills, SAP S/4HANA, RMF",₹4L - ₹7L (Glassdoor Est.),"Size
10000+ Employees
Founded
1837
Type
Company - Public
Industry
Consumer Product Manufacturing
Sector
Manufacturing
Revenue
$10+ billion (USD)",4.1
1,S&P Global,Gurgaon,Apprentice – Data Analyst,"We are responsible for assuring that data impacts are evaluate, understood, and communicated across all teams so that business continuity is maintained.…
Skills: Business intelligence, Relational databases, Tableau, Databases, SQL",₹5L - ₹7L (Glassdoor Est.),"Size
10000+ Employees
Founded
1860
Type
Company - Public
Industry
Research and development
Sector
Management and consulting
Revenue
$10+ billion (USD)",4.1
2,Oracuz Infotech Pvt Ltd,Remote,Data Science Intern,"You will be assigned with module projects and tasks during the internship and on the basis of performance and availability of vacancies you will be hired.…
Skills: Web development, Machine learning, Data science",₹5T (Employer Est.),,
3,Optum,Bengaluru,Manager Data Scientist,"As an Associate Manager, you will play a critical role in driving the success of our Data Science projects, leading a team of data scientists, and delivering……
Skills: TensorFlow, Big data, SQL, Analysis skills, Machine learning",₹10L (Glassdoor Est.),,
4,ITI Data,Chennai,AWS Glue Data Engineer,"Require Financial Services industry experience. This is a high visibility, fast-paced key initiative will integrate data across internal and external sources,……
Skills: Oracle, XML, Spark, NoSQL, MongoDB",₹2L - ₹9L (Glassdoor Est.),"Size
201 to 500 Employees
Founded
1999
Type
Company - Private
Industry
Information Technology Support Services
Sector
Information Technology
Revenue
Unknown / Non-Applicable",4.2
5,Adobe,Bengaluru,Senior Computer Scientist,"As a key member of the team you will be expected to design, build, test and deploy stable, scalable and simple solutions.…
Skills: TensorFlow, Image processing, Azure, Kubernetes, Computer vision",₹12L - ₹16L (Employer Est.),"Size
10000+ Employees
Founded
1982
Type
Company - Public
Industry
Computer Hardware Development
Sector
Information Technology
Revenue
$2 to $5 billion (USD)",4.2
6,Ananta Consulting Group,India,Software Engineer (Vadodara),"· Stay up to date on latest technology and leverage those technologies to enhance the current systems and process to make them more efficient.…
Skills: FTP, Azure, React, NFS, Web development",₹9L - ₹10L (Glassdoor Est.),,
7,S&P Global,Bengaluru,"Apprentice, Data Science","Knowledge of data science and data transformation processes. Flexible Downtime: Generous time off helps keep you energized for your time on.…
Skills: SQL, Analysis skills, Data science, Data visualization, Communication skills",₹15T - ₹20T (Employer Est.),"Size
10000+ Employees
Founded
1860
Type
Company - Public
Industry
Research and development
Sector
Management and consulting
Revenue
$10+ billion (USD)",4.1
8,Wisdom college for creativity & design,Ghaziabad,Data Science Trainee,"Acquire data from primary or secondary data sources and maintain databases/data systems. Use statistical methods to analyze data and generate useful business……
Skills: SQL, Data science, AI, Python",₹10T - ₹16T (Employer Est.),,
9,Medtek.AI,Noida,DATA SCIENCE INTERN,"Ability to work in cross-functional, multi-cultural and international clinical trial teams. Performing data manipulation, analysis, and reporting of clinical……
Skills: Statistics, Oracle, SAS, R, Tableau",₹3L - ₹10L (Glassdoor Est.),"Size
1 to 50 Employees
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",3.2
